source,target,en_length,zh_length
Cameron watches as the motel parking lot disappears into the night.,Cameron望着消失在夜色中的汽车旅馆。,67,21
"They had left most of their stuff behind in the room, only bringing along what they absolutely needed.",除了必要的行李，他们把大部分随身物品都留在了那个房间。,102,27
"Cameron had wanted to take it a bit slower, to think things over before running away like this.",Cameron本不想这么赶的，他还没来得及在离开之前把事情都想清楚。,95,34
"But weirdly enough, it was Devon that was ushering him out as quickly as he could.",但说来也怪，带着他仓皇出逃的正是Devon。,82,22
"Well, no, it made sense.",好吧，也不是没有道理。,24,11
"What was truly weird was how Cameron had felt, and how he still feels now.",真正奇怪的部分，在于Cameron心境的转变。,74,23
"Despite what had just happened, despite the absolute horror of it all, there's a part of Cameron that still wants to stay.",尽管刚刚才经历了无比的绝望与恐惧，可他还是想着留下。,122,26
"Cameron has to assume that this is nothing like what Dev had seen in his previous investigations, that maybe he also felt that overwhelming feeling of wrongness.",Cameron只能认为，这与Dev之前的调查截然不同，也许对方同样感受到了那股压倒性的{b}诡异{/b}。,161,53
But.{cps=3}..{/cps}{w=0.4} it also feels wrong to just leave after hearing what he had heard.,但是{cps=3}...{/cps}{w=0.4}就这样离开好像也不太对，毕竟他听到了‘声音’。,93,48
He'd expected Dev to want to stay after Cameron told him about Lupita.,他原以为Dev会在得知Lupita的消息后选择留下。,70,26
"And if Dev had asked him to stay, Cameron would have done so, if only to search for better closure after hearing her scream.",哪怕只是为了让她安息，只要是Dev的请求，Cameron都愿意听从。,124,34
"Despite Dev's calm appearance, Cameron knows that his mind must be in turmoil right now.",尽管Dev看起来十分平静，但Cameron知道，他的内心早已乱作一团。,88,35
"Now, with the night ending like this, he thinks that maybe he shouldn't have told Dev what he heard.",Cameron在想，也许他不该告诉Dev自己听到了什么，这个夜晚也就不会以这种方式结束。,100,44
"Yeah, he promised to be honest about it, but the hallucination, no--",诚然，他保证过要坦言相待，但那些幻觉，不对-,68,22
--the vision--,—那些异像—,14,6
"--felt like a lie somehow, a trick.",—更像是一种谎言，一种欺骗。,35,14
"It felt real, it happened, but it also felt like something nefarious was behind it all.",虽然真实发生过，却让人觉得是某种邪恶的存在暗中作祟。,87,26
"He felt it when the wolf focused on him, as if that unseen something had taken the wheel and started steering things where it wanted them to go.",他能感觉到，自被那只狼盯上的那一刻起，事情就犹如被某种看不见的东西所掌控，朝着它希望的方向驶去。,144,48
"Even if he has no idea what that something could be, Cameron hopes that's the case.",尽管不知道这一切的背后是什么，但Cameron只能希望如此。,83,30
